pipeline,llm,metric,score
Bimodal,DeepSeek R1 (ft),TFC,4
Bimodal,DeepSeek R1 (ft),TDC,3
Bimodal,DeepSeek R1 (ft),NFC,3
Bimodal,DeepSeek R1 (ft),NDC,3
Bimodal,DeepSeek R1 (ft),TFC,5
Bimodal,DeepSeek R1 (ft),TDC,4
Bimodal,DeepSeek R1 (ft),NFC,3
Bimodal,DeepSeek R1 (ft),NDC,3
Bimodal,DeepSeek R1 (ft),TFC,5
Bimodal,DeepSeek R1 (ft),TDC,3
Bimodal,DeepSeek R1 (ft),NFC,4
Bimodal,DeepSeek R1 (ft),NDC,3
Bimodal,DeepSeek R1 (ft),TFC,4
Bimodal,DeepSeek R1 (ft),TDC,3
Bimodal,DeepSeek R1 (ft),NFC,3
Bimodal,DeepSeek R1 (ft),NDC,3
Bimodal,DeepSeek R1 (ft),TFC,5
Bimodal,DeepSeek R1 (ft),TDC,5
Bimodal,DeepSeek R1 (ft),NFC,4
Bimodal,DeepSeek R1 (ft),NDC,4
Bimodal,DeepSeek R1 (ft),TFC,5
Bimodal,DeepSeek R1 (ft),TDC,5
Bimodal,DeepSeek R1 (ft),NFC,3
Bimodal,DeepSeek R1 (ft),NDC,3
Bimodal,DeepSeek R1 (ft),TFC,3
Bimodal,DeepSeek R1 (ft),TDC,3
Bimodal,DeepSeek R1 (ft),NFC,3
Bimodal,DeepSeek R1 (ft),NDC,2
Bimodal,DeepSeek R1 (ft),TFC,4
Bimodal,DeepSeek R1 (ft),TDC,4
Bimodal,DeepSeek R1 (ft),NFC,3
Bimodal,DeepSeek R1 (ft),NDC,3
Bimodal,DeepSeek R1 (ft),TFC,4
Bimodal,DeepSeek R1 (ft),TDC,3
Bimodal,DeepSeek R1 (ft),NFC,3
Bimodal,DeepSeek R1 (ft),NDC,2
Bimodal,DeepSeek R1 (ft),TFC,4
Bimodal,DeepSeek R1 (ft),TDC,3
Bimodal,DeepSeek R1 (ft),NFC,3
Bimodal,DeepSeek R1 (ft),NDC,3
Bimodal,DeepSeek R1 (ft),TFC,5
Bimodal,DeepSeek R1 (ft),TDC,4
Bimodal,DeepSeek R1 (ft),NFC,3
Bimodal,DeepSeek R1 (ft),NDC,3
Bimodal,DeepSeek R1 (ft),TFC,5
Bimodal,DeepSeek R1 (ft),TDC,5
Bimodal,DeepSeek R1 (ft),NFC,3
Bimodal,DeepSeek R1 (ft),NDC,3
Bimodal,DeepSeek R1 (ft),TFC,4
Bimodal,DeepSeek R1 (ft),TDC,3
Bimodal,DeepSeek R1 (ft),NFC,3
Bimodal,DeepSeek R1 (ft),NDC,3
Bimodal,DeepSeek R1 (ft),TFC,4
Bimodal,DeepSeek R1 (ft),TDC,3
Bimodal,DeepSeek R1 (ft),NFC,3
Bimodal,DeepSeek R1 (ft),NDC,3
Bimodal,DeepSeek R1 (ft),TFC,5
Bimodal,DeepSeek R1 (ft),TDC,5
Bimodal,DeepSeek R1 (ft),NFC,3
Bimodal,DeepSeek R1 (ft),NDC,3
Bimodal,DeepSeek R1 (ft),TFC,5
Bimodal,DeepSeek R1 (ft),TDC,4
Bimodal,DeepSeek R1 (ft),NFC,3
Bimodal,DeepSeek R1 (ft),NDC,3
Bimodal,DeepSeek R1 (ft),TFC,4
Bimodal,DeepSeek R1 (ft),TDC,3
Bimodal,DeepSeek R1 (ft),NFC,3
Bimodal,DeepSeek R1 (ft),NDC,2
Bimodal,DeepSeek R1 (ft),TFC,4
Bimodal,DeepSeek R1 (ft),TDC,3
Bimodal,DeepSeek R1 (ft),NFC,3
Bimodal,DeepSeek R1 (ft),NDC,3
Bimodal,DeepSeek R1 (ft),TFC,3
Bimodal,DeepSeek R1 (ft),TDC,3
Bimodal,DeepSeek R1 (ft),NFC,3
Bimodal,DeepSeek R1 (ft),NDC,2
Bimodal,DeepSeek R1 (ft),TFC,3
Bimodal,DeepSeek R1 (ft),TDC,4
Bimodal,DeepSeek R1 (ft),NFC,3
Bimodal,DeepSeek R1 (ft),NDC,3
