pipeline,llm,perplexity
Tabular-based,Gemma 3 (ft),18.318584097975513
Tabular-based,Gemma 3 (ft),19.623235967752436
Tabular-based,Gemma 3 (ft),17.539361673921487
Tabular-based,Gemma 3 (ft),19.518101659597978
Tabular-based,Gemma 3 (ft),19.877178937482597
Tabular-based,Gemma 3 (ft),20.076962075654684
Tabular-based,Gemma 3 (ft),20.461882138181156
Tabular-based,Gemma 3 (ft),19.261383300703915
Tabular-based,Gemma 3 (ft),21.72744757249139
Tabular-based,Gemma 3 (ft),19.22764590836273
Tabular-based,Gemma 3 (ft),18.97277101037993
Tabular-based,Gemma 3 (ft),18.31810368028817
Tabular-based,Gemma 3 (ft),23.565372239837544
Tabular-based,Gemma 3 (ft),25.473670457271236
Tabular-based,Gemma 3 (ft),19.952483170120413
Tabular-based,Gemma 3 (ft),16.304726423961174
Tabular-based,Gemma 3 (ft),17.42198668696684
Tabular-based,Gemma 3 (ft),23.496120387124876
Tabular-based,Gemma 3 (ft),6.609900757488854
Tabular-based,Gemma 3 (ft),20.016949880238297
Tabular-based,Gemma 3 (ft),20.15994816787397
Tabular-based,Gemma 3 (ft),21.546498437982116
Tabular-based,Gemma 3 (ft),23.450945240451887
Tabular-based,Gemma 3 (ft),21.665766262162236
Tabular-based,Gemma 3 (ft),16.234977602463523
Tabular-based,Gemma 3 (ft),14.185793294640273
Tabular-based,Gemma 3 (ft),14.700934065406374
Tabular-based,Gemma 3 (ft),21.200407534436422
Tabular-based,Gemma 3 (ft),17.979408878151276
Tabular-based,Gemma 3 (ft),18.804551826656052
Tabular-based,Gemma 3 (ft),21.169763620264415
Tabular-based,Gemma 3 (ft),19.911438866588107
Tabular-based,Gemma 3 (ft),19.267978931781848
Tabular-based,Gemma 3 (ft),21.880949013509767
Tabular-based,Gemma 3 (ft),21.70927258102187
Tabular-based,Gemma 3 (ft),21.581669915096946
Tabular-based,Gemma 3 (ft),18.454847482264924
Tabular-based,Gemma 3 (ft),17.241444107913217
Tabular-based,Gemma 3 (ft),26.18922214475699
Tabular-based,Gemma 3 (ft),19.96839706387146
Tabular-based,Gemma 3 (ft),17.249564613838253
Tabular-based,Gemma 3 (ft),18.173852457358834
Tabular-based,Gemma 3 (ft),20.26285285134534
Tabular-based,Gemma 3 (ft),18.64736254584812
Tabular-based,Gemma 3 (ft),20.442435954944806
Tabular-based,Gemma 3 (ft),16.55208568897609
Tabular-based,Gemma 3 (ft),16.90926247898667
Tabular-based,Gemma 3 (ft),21.10191116939266
Tabular-based,Gemma 3 (ft),18.723921686662003
Tabular-based,Gemma 3 (ft),16.22763650631091
Tabular-based,Gemma 3 (ft),18.1508675249442
Tabular-based,Gemma 3 (ft),16.704248684133
Tabular-based,Gemma 3 (ft),18.094964542774754
Tabular-based,Gemma 3 (ft),22.366812548768486
